ts,payload_json,error
2025-12-10T15:22:17.753392,"{""score"": 0.9831660628766441, ""ear"": 0.25960319370481466, ""timestamp"": ""2025-12-10T15:22:17.753392"", ""_error"": ""HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)""}","HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)"
2025-12-10T15:22:17.847370,"{""score"": 0.9091032187967117, ""ear"": 0.26032013963793615, ""timestamp"": ""2025-12-10T15:22:17.847370"", ""_error"": ""HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)""}","HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)"
2025-12-10T15:22:17.878534,"{""score"": 0.9091032187967117, ""ear"": 0.2605706301540312, ""timestamp"": ""2025-12-10T15:22:17.878534"", ""_error"": ""HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)""}","HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)"
2025-12-10T15:22:17.920551,"{""score"": 0.9285470684709347, ""ear"": 0.26015212458509795, ""timestamp"": ""2025-12-10T15:22:17.920551"", ""_error"": ""HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)""}","HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)"
2025-12-10T15:22:17.953619,"{""score"": 0.9285470684709347, ""ear"": 0.260187275674566, ""timestamp"": ""2025-12-10T15:22:17.953619"", ""_error"": ""HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)""}","HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)"
2025-12-10T15:22:17.986181,"{""score"": 0.9285470684709347, ""ear"": 0.2606763432036828, ""timestamp"": ""2025-12-10T15:22:17.986181"", ""_error"": ""HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)""}","HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)"
2025-12-10T15:22:18.100336,"{""score"": 0.9182970684709346, ""ear"": 0.26088985243077895, ""timestamp"": ""2025-12-10T15:22:18.100336"", ""_error"": ""HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)""}","HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)"
2025-12-10T15:22:18.141898,"{""score"": 0.9142401572039506, ""ear"": 0.26127702326464786, ""timestamp"": ""2025-12-10T15:22:18.141898"", ""_error"": ""HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)""}","HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)"
2025-12-10T15:22:18.174678,"{""score"": 0.9142401572039506, ""ear"": 0.2618384164609094, ""timestamp"": ""2025-12-10T15:22:18.174678"", ""_error"": ""HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)""}","HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)"
2025-12-10T15:22:18.207682,"{""score"": 0.9142401572039506, ""ear"": 0.2619352783240818, ""timestamp"": ""2025-12-10T15:22:18.207682"", ""_error"": ""HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)""}","HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)"
2025-12-10T15:22:18.245252,"{""score"": 0.9107401572039506, ""ear"": 0.26227260633330335, ""timestamp"": ""2025-12-10T15:22:18.245252"", ""_error"": ""HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)""}","HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)"
2025-12-10T15:22:18.315007,"{""score"": 0.9142401572039506, ""ear"": 0.26224491560628055, ""timestamp"": ""2025-12-10T15:22:18.315007"", ""_error"": ""HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)""}","HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)"
2025-12-10T15:22:18.282447,"{""score"": 0.9107401572039506, ""ear"": 0.26228358501443877, ""timestamp"": ""2025-12-10T15:22:18.282447"", ""_error"": ""HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)""}","HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)"
2025-12-10T15:22:18.344052,"{""score"": 0.9066238781341833, ""ear"": 0.26255735288041937, ""timestamp"": ""2025-12-10T15:22:18.344052"", ""_error"": ""HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)""}","HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)"
2025-12-10T15:22:18.372569,"{""score"": 0.8292546125603664, ""ear"": 0.2590393613845245, ""timestamp"": ""2025-12-10T15:22:18.372569"", ""_error"": ""HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)""}","HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)"
2025-12-10T15:22:18.406719,"{""score"": 0.9088229738087545, ""ear"": 0.25475483612541366, ""timestamp"": ""2025-12-10T15:22:18.406719"", ""_error"": ""HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)""}","HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)"
2025-12-10T15:22:18.438382,"{""score"": 0.9346096825180724, ""ear"": 0.251132238419048, ""timestamp"": ""2025-12-10T15:22:18.438382"", ""_error"": ""HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)""}","HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)"
2025-12-10T15:22:18.467698,"{""score"": 0.9532836704297369, ""ear"": 0.2476010819326223, ""timestamp"": ""2025-12-10T15:22:18.467698"", ""_error"": ""HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)""}","HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)"
2025-12-10T15:22:18.500809,"{""score"": 0.9521256094261932, ""ear"": 0.24679028717996715, ""timestamp"": ""2025-12-10T15:22:18.500809"", ""_error"": ""HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)""}","HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)"
2025-12-10T15:22:18.532240,"{""score"": 0.9521256094261932, ""ear"": 0.24663472244465015, ""timestamp"": ""2025-12-10T15:22:18.532240"", ""_error"": ""HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)""}","HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)"
2025-12-10T15:22:18.562615,"{""score"": 0.9519256094261932, ""ear"": 0.24622066066532305, ""timestamp"": ""2025-12-10T15:22:18.562615"", ""_error"": ""HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)""}","HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)"
2025-12-10T15:22:18.594281,"{""score"": 0.951687514188098, ""ear"": 0.24556813994307325, ""timestamp"": ""2025-12-10T15:22:18.594281"", ""_error"": ""HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)""}","HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)"
2025-12-10T15:22:18.641329,"{""score"": 0.9514503440407773, ""ear"": 0.24457499874033556, ""timestamp"": ""2025-12-10T15:22:18.641329"", ""_error"": ""HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)""}","HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)"
2025-12-10T15:22:18.670672,"{""score"": 0.9514503440407773, ""ear"": 0.24409580459146793, ""timestamp"": ""2025-12-10T15:22:18.670672"", ""_error"": ""HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)""}","HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)"
2025-12-10T15:22:18.701565,"{""score"": 0.9504728509420884, ""ear"": 0.2435961962938607, ""timestamp"": ""2025-12-10T15:22:18.701565"", ""_error"": ""HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)""}","HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)"
